logical_location,process_role,process_name,thread_name,kernel_thread_comm,python_thread_name,repeat_count,unique_step_count,sample_rows,runnable_samples,active_samples,total_cpu_delta_ms,max_cpu_delta_ms_per_sample,involuntary_ctx_switch_delta_sum,voluntary_ctx_switch_delta_sum,common_wchan,locations,reason_flags
Decode[215],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,400.0000000000057,110.00000000001364,102,0,0,Decode[215],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[81],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,390.0000000000148,90.00000000000341,77,0,0,Decode[81],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[28],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,380.00000000000966,80.0000000000054,75,0,0,Decode[28],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[130],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,379.99999999998124,90.00000000000341,76,0,0,Decode[130],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[129],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,370.00000000000455,80.0000000000125,80,0,0,Decode[129],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[34],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,370.00000000000455,80.0000000000054,74,0,0,Decode[34],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[82],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,369.99999999999744,89.9999999999963,86,0,0,Decode[82],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[76],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,369.99999999999744,79.9999999999983,82,0,0,Decode[76],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[68],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,369.99999999999744,79.9999999999983,78,0,0,Decode[68],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[178],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,369.99999999999744,80.0000000000054,77,1,0,Decode[178],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[139],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,369.99999999999744,80.0000000000054,76,0,0,Decode[139],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[75],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,369.99999999999744,90.00000000000341,73,0,0,Decode[75],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[22],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,369.99999999999744,89.9999999999963,67,0,0,Decode[22],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[158],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,369.99999999998323,80.0000000000054,80,0,0,Decode[158],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[30],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,360.00000000002075,80.0000000000054,76,0,0,Decode[30],runnable_R;cpu_delta_active;involuntary_ctx_switch
Decode[65],vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,5,1,5,5,5,360.00000000001364,80.0000000000054,82,0,0,Decode[65],runnable_R;cpu_delta_active;involuntary_ctx_switch
