repeat_id,pair_id,active_request_id,gpu_request_id,min_batch_barrier_enabled_phase_b,min_batch_barrier_requested_ms_phase_b,min_batch_barrier_observed_ms_phase_b,min_batch_barrier_target_requests_phase_b,min_batch_barrier_actual_requests_phase_b,min_batch_barrier_excluded_from_latency_phase_b,first_non_warmup_iter_rows,first_non_warmup_num_requests_min,first_non_warmup_num_requests_max,first_non_warmup_min_batch_target,first_non_warmup_min_batch_ok_all_ranks,raw_to_latency_submit_gap_ms_phase_b,raw_e2e_ms_including_barrier_phase_b,raw_queue_ms_including_barrier_phase_b,raw_e2ft_ms_including_barrier_phase_b,ttft_actual_raw_including_barrier_ms_phase_b,e2e_ms_phase_b,queue_ms_phase_b,ttft_ms_phase_b,tpot_ms_phase_b,tpot_token_count,ttft_actual_ms_phase_b,ttft_compute_window_ms_phase_b,ttft_request_observed_ms_phase_b,e2ft_request_observed_ms_phase_b,tpot_request_observed_ms_phase_b,prefill_time_ms_phase_b,prefill_gpu_ms_phase_b,prefill_non_gpu_wall_ms,prefill_non_gpu_wall_ratio,prefill_non_gpu_wall_percent,e2e_non_gpu_wall_ms,e2e_non_gpu_wall_ratio,e2e_non_gpu_wall_percent,ttft_non_gpu_wall_ms,ttft_non_gpu_wall_ratio,ttft_non_gpu_wall_percent,tpot_non_gpu_wall_ms,tpot_non_gpu_wall_ratio,tpot_non_gpu_wall_percent,target_input_tokens,input_tokens,input_tokens_ok,target_output_tokens,output_tokens,output_tokens_ok,e2e_gpu_ms,ttft_gpu_ms,tpot_gpu_ms,tpot_gpu_total_ms,prefill_active_thread_count,prefill_active_thread_count_edge,prefill_active_thread_count_sample_p90,prefill_active_thread_count_union,prefill_effective_cpu_cores,decode_active_thread_count_avg,decode_active_thread_count_edge_avg,decode_active_thread_count_sample_p90_avg,decode_active_thread_count_sample_max_peak,decode_active_thread_count_union_avg,decode_effective_cpu_cores_avg,decode_effective_cpu_cores_p90,decode_effective_cpu_cores_max,prefill_total_threads_mean,decode_total_threads_mean_avg,decode_total_threads_max_peak,prefill_process_cpu_delta_s,decode_process_cpu_delta_s_avg,active_decode_process_cpu_delta_total_s_est,active_total_process_cpu_delta_s_est,active_total_process_cpu_core_ms_est,active_num_decode_steps,active_decode_steps_expected,active_decode_steps_match,gpu_num_prefill_iters,gpu_num_decode_iters,gpu_decode_iters_expected,gpu_decode_iters_match,gpu_stage_classification_method,all_iters_have_expected_tp_rows
0,0,active_pair0_9e80224b-3f8f-4742-b3c7-49000e37d4fe,gpu_pair0_d17d6052-f98e-4979-ab12-955b70989ba4,0,0.0,0.0,3,3,1,2,3,3,3,1,0.816,3312.193,0.97,117.98,117.98,3311.376,0.153,117.163,11.523973,255,117.163,117.01,117.01,117.163,12.526326,18.801,18.764,0.037,0.001968,0.2%,364.197,0.109984,11.0%,98.399,0.839848,84.0%,0.040984,0.003556,0.4%,256,256,1,256,256,1,2947.179,18.764,11.48398,2928.415,5.0,5.0,4.0,5.0,433.76,3.533,3.533,2.772,5.0,3.533,452.666,588.877,751.454,137.0,137.0,137.0,0.1,0.084509804,21.55000002,21.65000002,21650.00002,255,255,1,1,255,255,1,scheduled_tokens,1
0,1,active_pair1_59625b47-1be5-4c9d-bac0-6de768de0639,gpu_pair1_46e5b5cb-18ca-42c2-b3a4-6836de05d845,0,0.0,0.0,3,3,1,2,3,3,3,1,0.479,3311.856,0.633,117.643,117.643,3311.376,0.153,117.163,11.523973,255,117.163,117.01,117.01,117.163,12.526326,18.801,18.764,0.037,0.001968,0.2%,364.197,0.109984,11.0%,98.399,0.839848,84.0%,0.040984,0.003556,0.4%,256,256,1,256,256,1,2947.179,18.764,11.48398,2928.415,5.0,5.0,4.0,5.0,433.76,3.533,3.533,2.772,5.0,3.533,452.666,588.877,751.454,137.0,137.0,137.0,0.1,0.084509804,21.55000002,21.65000002,21650.00002,255,255,1,1,255,255,1,scheduled_tokens,1
0,2,active_pair2_4a9f4034-eeb7-4a2d-aa36-62f5ea7aa390,gpu_pair2_672dd171-1e26-47e0-918b-db6babacf829,0,0.0,0.0,3,3,1,2,3,3,3,1,0.223,3311.6,0.377,117.387,117.387,3311.376,0.153,117.163,11.523973,255,117.163,117.01,117.01,117.163,12.526326,18.801,18.764,0.037,0.001968,0.2%,364.197,0.109984,11.0%,98.399,0.839848,84.0%,0.040984,0.003556,0.4%,256,256,1,256,256,1,2947.179,18.764,11.48398,2928.415,5.0,5.0,4.0,5.0,433.76,3.533,3.533,2.772,5.0,3.533,452.666,588.877,751.454,137.0,137.0,137.0,0.1,0.084509804,21.55000002,21.65000002,21650.00002,255,255,1,1,255,255,1,scheduled_tokens,1
1,0,active_pair0_78b581a9-7c97-4721-98f9-a2fd16a3fb47,gpu_pair0_bab52957-0101-4ca3-a0dc-eb66b10fa0d7,0,0.0,0.0,3,3,1,2,3,3,3,1,0.825,3296.44,0.979,57.758,57.758,3295.614,0.153,56.933,11.513502,255,56.933,56.779,56.779,56.933,12.700712,18.812,18.774,0.038,0.00202,0.2%,350.512,0.106357,10.6%,38.159,0.670243,67.0%,0.038537,0.003347,0.3%,256,256,1,256,256,1,2945.102,18.774,11.475796,2926.328,5.0,5.0,3.0,5.0,345.627,3.529,3.529,2.773,5.0,3.529,440.215,574.672,682.001,129.0,129.0,129.0,0.1,0.083803922,21.37000011,21.47000011,21470.00011,255,255,1,1,255,255,1,scheduled_tokens,1
1,1,active_pair1_3d6b53ff-0126-415e-93bd-2c594623b2ef,gpu_pair1_2473f222-6510-416d-b900-8ea58e8f16b1,0,0.0,0.0,3,3,1,2,3,3,3,1,0.48,3296.094,0.633,57.413,57.413,3295.614,0.153,56.933,11.513502,255,56.933,56.779,56.779,56.933,12.700712,18.812,18.774,0.038,0.00202,0.2%,350.512,0.106357,10.6%,38.159,0.670243,67.0%,0.038537,0.003347,0.3%,256,256,1,256,256,1,2945.102,18.774,11.475796,2926.328,5.0,5.0,3.0,5.0,345.627,3.529,3.529,2.773,5.0,3.529,440.215,574.672,682.001,129.0,129.0,129.0,0.1,0.083803922,21.37000011,21.47000011,21470.00011,255,255,1,1,255,255,1,scheduled_tokens,1
1,2,active_pair2_281b04d6-4386-4894-85dc-f69afe00c037,gpu_pair2_a5dd9091-dc40-41cc-8f08-f676b050a8e7,0,0.0,0.0,3,3,1,2,3,3,3,1,0.22,3295.835,0.374,57.153,57.153,3295.614,0.153,56.933,11.513502,255,56.933,56.779,56.779,56.933,12.700712,18.812,18.774,0.038,0.00202,0.2%,350.512,0.106357,10.6%,38.159,0.670243,67.0%,0.038537,0.003347,0.3%,256,256,1,256,256,1,2945.102,18.774,11.475796,2926.328,5.0,5.0,3.0,5.0,345.627,3.529,3.529,2.773,5.0,3.529,440.215,574.672,682.001,129.0,129.0,129.0,0.1,0.083803922,21.37000011,21.47000011,21470.00011,255,255,1,1,255,255,1,scheduled_tokens,1
2,0,active_pair0_0a4e3eda-f42a-40cb-8dee-eb8a957011da,gpu_pair0_378785e8-4d4b-4ece-9f00-c30ee31a4f62,0,0.0,0.0,3,3,1,2,3,3,3,1,0.823,3307.259,0.976,74.76,74.76,3306.435,0.152,73.936,11.528525,255,73.936,73.784,73.784,73.936,12.676467,18.773,18.735,0.038,0.002024,0.2%,357.647,0.108167,10.8%,55.201,0.746606,74.7%,0.038647,0.003352,0.3%,256,256,1,256,256,1,2948.788,18.735,11.490404,2930.053,5.0,5.0,4.6,5.0,6.827,3.49,3.49,2.71,5.0,3.49,433.854,569.443,675.594,129.0,129.0,129.0,0.22,0.084,21.42,21.64,21640.0,255,255,1,1,255,255,1,scheduled_tokens,1
2,1,active_pair1_9c047ffa-7d8c-4407-a03f-6d71029db58e,gpu_pair1_1501ffc8-e13e-4ecc-abfa-b1dedabe7d2f,0,0.0,0.0,3,3,1,2,3,3,3,1,0.473,3306.909,0.626,74.41,74.41,3306.435,0.152,73.936,11.528525,255,73.936,73.784,73.784,73.936,12.676467,18.773,18.735,0.038,0.002024,0.2%,357.647,0.108167,10.8%,55.201,0.746606,74.7%,0.038647,0.003352,0.3%,256,256,1,256,256,1,2948.788,18.735,11.490404,2930.053,5.0,5.0,4.6,5.0,6.827,3.49,3.49,2.71,5.0,3.49,433.854,569.443,675.594,129.0,129.0,129.0,0.22,0.084,21.42,21.64,21640.0,255,255,1,1,255,255,1,scheduled_tokens,1
2,2,active_pair2_d27a6ecb-504c-44fa-91ff-ac7d89b56a14,gpu_pair2_c4490f93-f50c-4a48-8369-7b0751623ac9,0,0.0,0.0,3,3,1,2,3,3,3,1,0.215,3306.651,0.368,74.152,74.152,3306.435,0.152,73.936,11.528525,255,73.936,73.784,73.784,73.936,12.676467,18.773,18.735,0.038,0.002024,0.2%,357.647,0.108167,10.8%,55.201,0.746606,74.7%,0.038647,0.003352,0.3%,256,256,1,256,256,1,2948.788,18.735,11.490404,2930.053,5.0,5.0,4.6,5.0,6.827,3.49,3.49,2.71,5.0,3.49,433.854,569.443,675.594,129.0,129.0,129.0,0.22,0.084,21.42,21.64,21640.0,255,255,1,1,255,255,1,scheduled_tokens,1
3,0,active_pair0_400a610c-4ab3-4c50-bd34-0332b264b02e,gpu_pair0_e9f9f21a-0c0c-4ced-80ed-bc78afd9e111,0,0.0,0.0,3,3,1,2,3,3,3,1,0.839,3300.966,0.996,80.032,80.032,3300.127,0.156,79.193,11.513839,255,79.193,79.036,79.036,79.193,12.631115,18.672,18.634,0.038,0.002035,0.2%,355.056,0.107589,10.8%,60.559,0.764701,76.5%,0.038039,0.003304,0.3%,256,256,1,256,256,1,2945.071,18.634,11.476224,2926.437,4.0,4.0,4.0,4.0,530.415,3.541,3.541,2.827,5.0,3.541,436.386,581.302,687.991,129.0,129.0,129.0,0.12,0.083686275,21.340000125,21.460000125,21460.000125000002,255,255,1,1,255,255,1,scheduled_tokens,1
3,1,active_pair1_23d266d4-9afa-4930-983c-3bedd162a37a,gpu_pair1_bc117060-0047-42d8-8ae7-dbe85f684af5,0,0.0,0.0,3,3,1,2,3,3,3,1,0.488,3300.615,0.645,79.681,79.681,3300.127,0.156,79.193,11.513839,255,79.193,79.036,79.036,79.193,12.631115,18.672,18.634,0.038,0.002035,0.2%,355.056,0.107589,10.8%,60.559,0.764701,76.5%,0.038039,0.003304,0.3%,256,256,1,256,256,1,2945.071,18.634,11.476224,2926.437,4.0,4.0,4.0,4.0,530.415,3.541,3.541,2.827,5.0,3.541,436.386,581.302,687.991,129.0,129.0,129.0,0.12,0.083686275,21.340000125,21.460000125,21460.000125000002,255,255,1,1,255,255,1,scheduled_tokens,1
3,2,active_pair2_a876eed2-0dd2-4018-ae2d-f4498dc774c2,gpu_pair2_6787b5bf-df64-4a52-b536-344b46d3faf2,0,0.0,0.0,3,3,1,2,3,3,3,1,0.224,3300.351,0.381,79.417,79.417,3300.127,0.156,79.193,11.513839,255,79.193,79.036,79.036,79.193,12.631115,18.672,18.634,0.038,0.002035,0.2%,355.056,0.107589,10.8%,60.559,0.764701,76.5%,0.038039,0.003304,0.3%,256,256,1,256,256,1,2945.071,18.634,11.476224,2926.437,4.0,4.0,4.0,4.0,530.415,3.541,3.541,2.827,5.0,3.541,436.386,581.302,687.991,129.0,129.0,129.0,0.12,0.083686275,21.340000125,21.460000125,21460.000125000002,255,255,1,1,255,255,1,scheduled_tokens,1
4,0,active_pair0_d973c3a1-514c-4efe-a5d3-2c34d1ab167f,gpu_pair0_35e8142d-969c-45c6-8656-775f2839dec5,0,0.0,0.0,3,3,1,2,3,3,3,1,0.814,3275.918,0.969,24.073,24.073,3275.104,0.155,23.259,11.538753,255,23.259,23.104,23.104,23.259,12.752335,18.788,18.751,0.038,0.002023,0.2%,323.609,0.098809,9.9%,4.508,0.193806,19.4%,0.038498,0.003336,0.3%,256,256,1,256,256,1,2951.495,18.751,11.500957,2932.744,4.0,4.0,4.0,4.0,526.105,3.51,3.51,2.769,5.0,3.51,428.915,578.299,679.058,129.0,129.0,129.0,0.12,0.083176471,21.210000105,21.330000105,21330.000105,255,255,1,1,255,255,1,scheduled_tokens,1
4,1,active_pair1_18621d11-d243-4789-8119-1c98e2d438a5,gpu_pair1_f1454333-a478-4afb-aa30-c6d48bff2dc7,0,0.0,0.0,3,3,1,2,3,3,3,1,0.475,3275.58,0.631,23.734,23.734,3275.104,0.155,23.259,11.538753,255,23.259,23.104,23.104,23.259,12.752335,18.788,18.751,0.038,0.002023,0.2%,323.609,0.098809,9.9%,4.508,0.193806,19.4%,0.038498,0.003336,0.3%,256,256,1,256,256,1,2951.495,18.751,11.500957,2932.744,4.0,4.0,4.0,4.0,526.105,3.51,3.51,2.769,5.0,3.51,428.915,578.299,679.058,129.0,129.0,129.0,0.12,0.083176471,21.210000105,21.330000105,21330.000105,255,255,1,1,255,255,1,scheduled_tokens,1
